School District,City,County,State,,,,,,,,,,"Alexander, Anamoose, Menoken, Ashley, Wimbledon, Beach, Belcourt, Belfield, Beulah, Medora, Bismarck, Bottineau, Bowbells, Bowman, Lignite, Carrington, Cavalier, Center, Casselton, Buxton, Petersburg, Devils Lake, Dickinson, Crosby, Drake, Drayton, Dunseith, Edgeley, Trenton, Elgin, Ellendale, Emerado, Enderlin, Fairmount, Fargo, Fessenden, Finley, Flasher, Fordville, Fort Ransom, Fort Totten, Fort Yates, Gackle, Garrison, Glenburn, Glen Ullin, Grafton, Grafton, Grand Forks, Grenora, Cooperstown, Hankinson, Harvey, Hatton, Hazelton, Hazen, Hebron, Hettinger, Hillsboro, Hope, Cartwright, Jamestown, Kenmare, Kensal, Steele, Killdeer, Kindred, Kulm, Lakota, LaMoure, Langdon, Larimore, Leeds, Plaza, Lidgerwood, Linton, Lisbon, Marion, St. Anthony, Golva, Maddock, Mandan, Mandaree, Manning, Manvel, Mapleton, Tower City, Marmarth, Max, Mayville, McClusky, Watford City, Medina, Menoken, Glenfield, Inkster, Milnor, Minnewaukan, Minot, Minto, Mohall, Montpelier, Mott, Rolla, Munich, Napoleon, Bismarck, Minot, Ray, Newburg, New England, New Rockford, New Salem, New Town, Walhalla, Hunter, Gwinner, Cando, Northwood, Oakes, Oberon, Park River, Parshall, Pingree, Powers Lake, Richardton, Colfax, Rolette, Carson, Rugby, Forman, Sawyer, Scranton, Selfridge, Solen, South Heart, Minot, Stanley, Starkweather, Sterling, St. John, Strasburg, Surrey, Mandan, Towner, Thompson, Tioga, Turtle Lake, Halliday, Underwood, Des Lacs, Valley City, Hoople, Velva, Wahpeton, Warwick, Washburn, West Fargo, Westhope, Roseglen, Williston, Wilton, Wing, Wishek, Wyndmere, East Fairview, Zeeland"
Kidder County School District,Steele,Kidder,North Dakota,,,,,,,,,,
Killdeer Public School District,Killdeer,Dunn,North Dakota,,,,,,,,,,
Kindred Public School District,Kindred,Cass,North Dakota,,,,,,,,,,
Kulm Public School District,Kulm,LaMoure,North Dakota,,,,,,,,,,
Lakota Public School District,Lakota,Nelson,North Dakota,,,,,,,,,,
LaMoure Public School District,LaMoure,LaMoure,North Dakota,,,,,,,,,,
Langdon Area Schools,Langdon,Cavalier,North Dakota,,,,,,,,,,
Larimore Public School District,Larimore,Grand Forks,North Dakota,,,,,,,,,,
Leeds Public School District,Leeds,Benson,North Dakota,,,,,,,,,,
Lewis and Clark Public School District,Plaza,Mountrail,North Dakota,,,,,,,,,,
Lidgerwood Public School District,Lidgerwood,Richland,North Dakota,,,,,,,,,,
Linton Public School District,Linton,Emmons,North Dakota,,,,,,,,,,
Lisbon Public School District,Lisbon,Ransom,North Dakota,,,,,,,,,,
Litchville-Marion Public School District,Marion,LaMoure,North Dakota,,,,,,,,,,
Little Heart Public School District,St. Anthony,Morton,North Dakota,,,,,,,,,,
Lone Tree Public School District,Golva,Golden Valley,North Dakota,,,,,,,,,,
Maddock Public School District,Maddock,Benson,North Dakota,,,,,,,,,,
Mandan Public School District,Mandan,Morton,North Dakota,,,,,,,,,,
Mandaree Public School District,Mandaree,McKenzie,North Dakota,,,,,,,,,,
Manning Public School District,Manning,Dunn,North Dakota,,,,,,,,,,
Manvel Public School District,Manvel,Grand Forks,North Dakota,,,,,,,,,,
Mapleton Public School District,Mapleton,Cass,North Dakota,,,,,,,,,,
Maple Valley Public School District,Tower City,Cass,North Dakota,,,,,,,,,,
Marmarth Public School District,Marmarth,Slope,North Dakota,,,,,,,,,,
Max Public School District,Max,McLean,North Dakota,,,,,,,,,,
May-Port CG Public School District,Mayville,Traill,North Dakota,,,,,,,,,,
McClusky-Goodrich Public School District,McClusky,Sheridan,North Dakota,,,,,,,,,,
McKenzie County Public School District,Watford City,McKenzie,North Dakota,,,,,,,,,,
Medina Public School District,Medina,Stutsman,North Dakota,,,,,,,,,,
Menoken Public School District,Menoken,Burleigh,North Dakota,,,,,,,,,,
