School District,City,County,State
Jonesville Community Schools,Jonesville,Hillsdale,Michigan
Kalamazoo Public School District,Kalamazoo,Kalamazoo,Michigan
Kaleva Norman Dickson School District,Kaleva,Manistee,Michigan
Kalkaska Public Schools,Kalkaska,Kalkaska,Michigan
Kearsley Community Schools,Flint,Genesee,Michigan
Kelloggsville Public Schools,Kentwood,Kent,Michigan
Kenowa Hills Public Schools,Grand Rapids,Kent,Michigan
Kent City Community Schools,Kent City,Kent,Michigan
Kentwood Public Schools,Kentwood,Kent,Michigan
Kingsley Area Schools,Kingsley,Grand Traverse,Michigan
Kingston Community School District,Kingston,Tuscola,Michigan
Laingsburg Community School District,Laingsburg,Shiawassee,Michigan
Lake City Area School District,Lake City,Missaukee,Michigan
Lake Fenton Community Schools,Fenton,Genesee,Michigan
Lake Linden-Hubbell School District,Lake Linden,Houghton,Michigan
Lake Orion Community Schools,Lake Orion,Oakland,Michigan
Lake Shore Public Schools,St. Clair Shores,Macomb,Michigan
Lakeshore School District,Stevensville,Berrien,Michigan
Lakeview Community Schools,Lakeview,Montcalm,Michigan
Lakeview Public Schools,St. Clair Shores,Macomb,Michigan
Lakeview School District,Battle Creek,Calhoun,Michigan
Lakeville Community Schools,Otisville,Genesee,Michigan
Lakewood Public Schools,Lake Odessa,Ionia,Michigan
Lamphere Public Schools,Madison Heights,Oakland,Michigan
L'Anse Area Schools,L'Anse,Baraga,Michigan
L'Anse Creuse Public Schools,Clinton Township,Macomb,Michigan
Lansing School District,Lansing,Ingham,Michigan
Lapeer Community Schools,Lapeer,Lapeer,Michigan
Lawrence Public School District,Lawrence,Van Buren,Michigan
Lawton Community School District,Lawton,Van Buren,Michigan
Leland Public School District,Leland,Leelanau,Michigan
Les Cheneaux Community Schools,Cedarville,Mackinac,Michigan
Leslie Public Schools,Leslie,Ingham,Michigan
Lincoln Consolidated School District,Ypsilanti,Washtenaw,Michigan
Lincoln Park Public Schools,Lincoln Park,Wayne,Michigan
Linden Community Schools,Linden,Genesee,Michigan
Litchfield Community Schools,Litchfield,Hillsdale,Michigan
Livonia Public Schools,Livonia,Wayne,Michigan
Lowell Area Schools,Lowell,Kent,Michigan
Ludington Area School District,Ludington,Mason,Michigan
Mackinac Island School District,Mackinac Island,Mackinac,Michigan
Mackinaw City Public Schools,Mackinaw City,Cheboygan,Michigan
Madison District Public Schools,Madison Heights,Oakland,Michigan
Madison School District,Adrian,Lenawee,Michigan
Mancelona Public Schools,Mancelona,Antrim,Michigan
Manchester Community Schools,Manchester,Washtenaw,Michigan
Manistee Area Schools,Manistee,Manistee,Michigan
Manistique Area Schools,Manistique,Schoolcraft,Michigan
Manton Consolidated Schools,Manton,Wexford,Michigan
Maple Valley Schools,Vermontville,Eaton,Michigan
Marcellus Community Schools,Marcellus,Cass,Michigan
Marion Public Schools,Marion,Osceola,Michigan
Mar Lee School District,Mar Lee,Calhoun,Michigan
Marlette Community Schools,Marlette,Sanilac,Michigan
Marquette Area Public Schools,Marquette,Marquette,Michigan
Marshall Public Schools,Marshall,Calhoun,Michigan
Martin Public Schools,Martin,Allegan,Michigan
Marysville Public Schools,Marysville,St. Clair,Michigan
Mason Consolidated Schools,Erie,Monroe,Michigan
Mason County Central Schools,Scottville,Mason,Michigan
Mason County Eastern Schools,Custer,Mason,Michigan
Mason Public Schools,Mason,Ingham,Michigan
Mattawan Consolidated School,Mattawan,Van Buren,Michigan
Mayville Community School District,Mayville,Tuscola,Michigan
McBain Rural Agricultural Schools,McBain,Missaukee,Michigan
Melvindale-North Allen Park Schools,Melvindale,Wayne,Michigan
Memphis Community Schools,Memphis,Macomb,Michigan
Mendon Community School District,Mendon,St. Joseph,Michigan
Menominee Area Public Schools,Menominee,Menominee,Michigan
Meridian Public Schools,Sanford,Midland,Michigan
Merrill Community Schools,Merrill,Saginaw,Michigan
Mesick Consolidated Schools,Mesick,Wexford,Michigan
Michigan Center School District,Michigan Center,Jackson,Michigan
Midland Public Schools,Midland,Midland,Michigan
Mid Peninsula School District,Rock,Delta,Michigan
Milan Area Schools,Milan,Monroe,Michigan
Millington Community Schools,Millington,Tuscola,Michigan
Mio-AuSable Schools,Mio,Oscoda,Michigan
Mona Shores Public Schools,Norton Shores,Muskegon,Michigan
Monroe Public Schools,Monroe,Monroe,Michigan
Montabella Community Schools,Edmore,Montcalm,Michigan
Montague Area Public Schools,Montague,Muskegon,Michigan
Montrose Community Schools,Montrose,Genesee,Michigan
Moran Township School District,Moran,Mackinac,Michigan
Morenci Area Schools,Morenci,Lenawee,Michigan
Morley Stanwood Community Schools,Morley,Mecosta,Michigan
Morrice Area Schools,Morrice,Shiawassee,Michigan
Mount Clemens Community School District,Mount Clemens,Macomb,Michigan
Mount Morris Consolidated Schools,Mount Morris,Genesee,Michigan
Mount Pleasant City School District,Mount Pleasant,Isabella,Michigan
Munising Public Schools,Munising,Alger,Michigan
Muskegon City School District,Muskegon,Muskegon,Michigan
Muskegon Heights School District,Muskegon Heights,Muskegon,Michigan
Napoleon Community Schools,Napoleon,Jackson,Michigan
Negaunee Public Schools,Negaunee,Marquette,Michigan
Newaygo Public School District,Newaygo,Newaygo,Michigan
New Buffalo Area Schools,New Buffalo,Berrien,Michigan
New Haven Community Schools,New Haven,Macomb,Michigan
New Lothrop Area Public Schools,New Lothrop,Shiawassee,Michigan
N.I.C.E. Community School District,Au Train,Alger,Michigan
Niles Community School District,Niles,Berrien,Michigan
North Adams-Jerome Schools,North Adams,Hillsdale,Michigan
North Branch Area Schools,North Branch,Lapeer,Michigan
North Central Area Schools,Powers,Menominee,Michigan
North Dickinson County Schools,Felch,Dickinson,Michigan
North Huron School District,Kinde,Huron,Michigan
North Muskegon Public Schools,North Muskegon,Muskegon,Michigan
Northport Public School District,Northport,Leelanau,Michigan
Northview Public School District,Grand Rapids,Kent,Michigan
Northville Public Schools,Northville,Wayne,Michigan
Northwest Community Schools,Jackson,Jackson,Michigan
Norway-Vulcan Area Schools,Norway,Dickinson,Michigan
Nottawa Community School,Nottawa,St. Joseph,Michigan
Novi Community School District,Novi,Oakland,Michigan
Oak Park City School District,Oak Park,Oakland,Michigan
Oakridge Public Schools,Muskegon,Muskegon,Michigan
Okemos Public Schools,Okemos,Ingham,Michigan
Olivet Community Schools,Olivet,Eaton,Michigan
Onaway Area Community School District,Onaway,Presque Isle,Michigan
Oneida Township School District,Oneida Township,Eaton,Michigan
Onekama Consolidated Schools,Onekama,Manistee,Michigan
Onsted Community Schools,Onsted,Lenawee,Michigan
Ontonagon Area Schools,Ontonagon,Ontonagon,Michigan
Orchard View Schools,Muskegon,Muskegon,Michigan
Oscoda Area Schools,Oscoda,Iosco,Michigan
Otsego Public Schools,Otsego,Allegan,Michigan
Ovid-Elsie Area Schools,Elsie,Clinton,Michigan
Owendale-Gagetown Area Schools,Owendale,Huron,Michigan
Owosso Public Schools,Owosso,Shiawassee,Michigan
Oxford Area Community Schools,Oxford,Oakland,Michigan
Parchment School District,Parchment,Kalamazoo,Michigan
Paw Paw Public School District,Paw Paw,Van Buren,Michigan
Peck Community School District,Peck,Sanilac,Michigan
Pellston Public Schools,Pellston,Emmet,Michigan
Pennfield School District,Battle Creek,Calhoun,Michigan
Pentwater Public School District,Pentwater,Oceana,Michigan
Perry Public School District,Perry,Shiawassee,Michigan
Pewamo-Westphalia Community Schools,Pewamo,Ionia,Michigan
Pickford Public Schools,Pickford,Chippewa,Michigan
Pinckney Community Schools,Pinckney,Livingston,Michigan
Pinconning Area Schools,Pinconning,Bay,Michigan
Pine River Area Schools,LeRoy,Osceola,Michigan
Pittsford Area Schools,Pittsford,Hillsdale,Michigan
Plainwell Community Schools,Plainwell,Allegan,Michigan
Plymouth-Canton Community Schools,Plymouth,Wayne,Michigan
Pontiac City School District,Pontiac,Oakland,Michigan
Portage Public Schools,Portage,Kalamazoo,Michigan
Port Huron Area School District,Port Huron,St. Clair,Michigan
Portland Public School District,Portland,Ionia,Michigan
Posen Consolidated School District,Posen,Presque Isle,Michigan
Potterville Public Schools,Potterville,Eaton,Michigan
Powell Township Schools,Powell Township,Marquette,Michigan
"Public Schools of Calumet, Laurium, and Keweenaw",Calumet,Houghton,Michigan
Public Schools of Petoskey,Petoskey,Emmet,Michigan
Quincy Community School District,Quincy,Branch,Michigan
Rapid River Public Schools,Rapid River,Delta,Michigan
Ravenna Public Schools,Ravenna,Muskegon,Michigan
Reading Community Schools,Reading,Hillsdale,Michigan
Redford Union School District,Redford,Wayne,Michigan
Reed City Area Public Schools,Reed City,Osceola,Michigan
Reese Public Schools,Reese,Tuscola,Michigan
Reeths-Puffer Schools,Muskegon,Muskegon,Michigan
Republic-Michigamme Schools,Republic,Marquette,Michigan
Richmond Community Schools,Richmond,Macomb,Michigan
River Rouge School District,River Rouge,Wayne,Michigan
River Valley School District,Three Oaks,Berrien,Michigan
Riverview Community School District,Riverview,Wayne,Michigan
Rochester Community School District,Rochester Hills,Oakland,Michigan
Rockford Public Schools,Rockford,Kent,Michigan
Rogers City Area Schools,Rogers City,Presque Isle,Michigan
Romeo Community Schools,Romeo,Macomb,Michigan
Romulus Community Schools,Romulus,Wayne,Michigan
Roscommon Area Public Schools,Roscommon,Roscommon,Michigan
Roseville Community Schools,Roseville,Macomb,Michigan
Royal Oak Schools,Royal Oak,Oakland,Michigan
Rudyard Area Schools,Rudyard,Chippewa,Michigan
Saginaw Public School District,Saginaw,Saginaw,Michigan
Saginaw Township Community Schools,Saginaw,Saginaw,Michigan
Saline Area Schools,Saline,Washtenaw,Michigan
Sand Creek Community Schools,Sand Creek,Lenawee,Michigan
Sandusky Community Schools,Sandusky,Sanilac,Michigan
Saranac Community Schools,Saranac,Ionia,Michigan
Saugatuck Public Schools,Saugatuck,Allegan,Michigan
Sault Ste. Marie Area Schools,Sault Ste. Marie,Chippewa,Michigan
Schoolcraft Community Schools,Schoolcraft,Kalamazoo,Michigan
Shelby Public Schools,Shelby,Oceana,Michigan
Shepherd Public Schools,Shepherd,Isabella,Michigan
Sigel Township School District 3F,Sigel Township,Huron,Michigan
Sigel Township School District 4F,Sigel Township,Huron,Michigan
Sigel Township School District 6,Sigel Township,Huron,Michigan
Sodus Township School District 5,Sodus Township,Berrien,Michigan
Southfield Public Schools,Southfield,Oakland,Michigan
Southgate Community Schools,Southgate,Wayne,Michigan
South Haven Public Schools,South Haven,Van Buren,Michigan
South Lake Schools,St. Clair Shores,Macomb,Michigan
South Lyon Community Schools,South Lyon,Oakland,Michigan
South Redford School District,Redford,Wayne,Michigan
Sparta Area Schools,Sparta,Kent,Michigan
Spring Lake Public Schools,Spring Lake,Ottawa,Michigan
Springport Public Schools,Springport,Jackson,Michigan
Standish-Sterling Community Schools,Standish,Arenac,Michigan
Stanton Township Public Schools,Stanton Township,Houghton,Michigan
St. Charles Community Schools,St. Charles,Saginaw,Michigan
Stephenson Area Public Schools,Stephenson,Menominee,Michigan
St. Ignace Area Schools,St. Ignace,Mackinac,Michigan
St. Johns Public Schools,St. Johns,Clinton,Michigan
St. Joseph Public Schools,St. Joseph,Berrien,Michigan
St. Louis Public Schools,St. Louis,Gratiot,Michigan
Stockbridge Community Schools,Stockbridge,Ingham,Michigan
Sturgis Public Schools,Sturgis,St. Joseph,Michigan
Summerfield School District,Petersburg,Monroe,Michigan
Superior Central School District,Eben Junction,Alger,Michigan
Suttons Bay Public Schools,Suttons Bay,Leelanau,Michigan
Swan Valley School District,Saginaw,Saginaw,Michigan
Swartz Creek Community Schools,Swartz Creek,Genesee,Michigan
Tahquamenon Area Schools,Newberry,Luce,Michigan
Tawas Area School District,Tawas City,Iosco,Michigan
Taylor School District,Taylor,Wayne,Michigan
