School District,City,County,State
Northland Pines School District,Eagle River,Vilas,Wisconsin
Northwood School District,Minong,Washburn,Wisconsin
Norwalk-Ontario-Wilton School District,Norwalk,Monroe,Wisconsin
Norway Joint No. 7 School District,Wind Lake,Racine,Wisconsin
Oak Creek-Franklin Joint School District,Oak Creek,Milwaukee,Wisconsin
Oakfield School District,Oakfield,Fond du Lac,Wisconsin
Oconomowoc Area School District,Oconomowoc,Waukesha,Wisconsin
Oconto Falls School District,Oconto Falls,Oconto,Wisconsin
Oconto Unified School District,Oconto,Oconto,Wisconsin
Omro School District,Omro,Winnebago,Wisconsin
Oostburg School District,Oostburg,Sheboygan,Wisconsin
Oregon School District,Oregon,Dane,Wisconsin
Osceola School District,Osceola,Polk,Wisconsin
Oshkosh Area School District,Oshkosh,Winnebago,Wisconsin
Osseo-Fairchild School District,Osseo,Trempealeau,Wisconsin
Owen-Withee School District,Owen,Clark,Wisconsin
Palmyra-Eagle Area School District,Palmyra,Jefferson,Wisconsin
Pardeeville Area School District,Pardeeville,Columbia,Wisconsin
Paris Joint No. 1 School District,Kenosha,Kenosha,Wisconsin
Parkview School District,Orfordville,Rock,Wisconsin
Pecatonica Area School District,Blanchardville,Lafayette,Wisconsin
Pepin Area School District,Pepin,Pepin,Wisconsin
Peshtigo School District,Peshtigo,Marinette,Wisconsin
Pewaukee School District,Pewaukee,Waukesha,Wisconsin
Phelps School District,Phelps,Vilas,Wisconsin
Phillips School District,Phillips,Price,Wisconsin
Pittsville School District,Pittsville,Wood,Wisconsin
Platteville School District,Platteville,Grant,Wisconsin
Plum City School District,Plum City,Pierce,Wisconsin
Plymouth School District,Plymouth,Sheboygan,Wisconsin
Portage Community School District,Portage,Columbia,Wisconsin
Port Edwards School District,Port Edwards,Wood,Wisconsin
Port Washington-Saukville School District,Port Washington,Ozaukee,Wisconsin
Potosi School District,Potosi,Grant,Wisconsin
Poynette School District,Poynette,Columbia,Wisconsin
Prairie du Chien Area School District,Prairie du Chien,Crawford,Wisconsin
Prairie Farm School District,Prairie Farm,Barron,Wisconsin
