School District,City,County,State
South Knox School Corporation,Vincennes,Knox,Indiana
South Madison Community School Corporation,Pendleton,Madison,Indiana
South Montgomery Community School Corporation,Ladoga,Montgomery,Indiana
South Newton School Corporation,Morocco,Newton,Indiana
South Putnam Community Schools,Greencastle,Putnam,Indiana
South Ripley Community School Corporation,Versailles,Ripley,Indiana
South Spencer County School Corporation,Rockport,Spencer,Indiana
South Vermillion Community School Corporation,Clinton,Vermillion,Indiana
Southeast Dubois County School Corporation,Huntingburg,Dubois,Indiana
Southeast Fountain School Corporation,Kingman,Fountain,Indiana
Southern Wells Community Schools,Poneto,Wells,Indiana
Southwest Allen County Schools,Fort Wayne,Allen,Indiana
Southwest Dubois County School Corporation,Huntingburg,Dubois,Indiana
Southwest Parke Community School Corporation,Montezuma,Parke,Indiana
Southwest School Corporation,Sullivan,Sullivan,Indiana
Southwestern Consolidated School District of Shelby County,Shelbyville,Shelby,Indiana
Southwestern Jefferson County Consolidated Schools,Hanover,Jefferson,Indiana
Spencer-Owen Community Schools,Spencer,Owen,Indiana
Springs Valley Community School Corporation,French Lick,Orange,Indiana
Sunman-Dearborn Community School Corporation,St. Leon,Dearborn,Indiana
Switzerland County School Corporation,Vevay,Switzerland,Indiana
Taylor Community School Corporation,Kokomo,Howard,Indiana
Tell City-Troy Township School Corporation,Tell City,Perry,Indiana
Tippecanoe School Corporation,Lafayette,Tippecanoe,Indiana
Tippecanoe Valley School Corporation,Akron,Kosciusko,Indiana
Tipton Community School Corporation,Tipton,Tipton,Indiana
Tri-Central Community Schools,Sharpsville,Tipton,Indiana
Tri-County School Corporation,Wolcott,White,Indiana
Tri-Creek School Corporation,Lowell,Lake,Indiana
Tri-Township Consolidated School Corporation,Wanatah,LaPorte,Indiana
Triton School Corporation,Bourbon,Marshall,Indiana
Twin Lakes School Corporation,Monticello,White,Indiana
Union County-College Corner Joint School District,Liberty,Union,Indiana
Union School Corporation,Modoc,Randolph,Indiana
Union Township School Corporation,Valparaiso,Porter,Indiana
Union-North United School Corporation,Lakeville,St. Joseph,Indiana
Valparaiso Community Schools,Valparaiso,Porter,Indiana
Vigo County School Corporation,Terre Haute,Vigo,Indiana
Vincennes Community School Corporation,Vincennes,Knox,Indiana
Wa-Nee Community Schools,Nappanee,Elkhart/Kosciusko,Indiana
Wabash City Schools,Wabash,Wabash,Indiana
Warrick County School Corporation,Boonville,Warrick,Indiana
Warsaw Community Schools,Warsaw,Kosciusko,Indiana
Washington Community Schools,Washington,Daviess,Indiana
Wawasee Community School Corporation,Syracuse,Kosciusko,Indiana
Wes-Del Community Schools,Gaston,Delaware,Indiana
West Central School Corporation,Francesville,Pulaski,Indiana
West Clark Community Schools,Sellersburg,Clark,Indiana
West Lafayette Community School Corporation,West Lafayette,Tippecanoe,Indiana
West Noble School Corporation,Ligonier,Noble,Indiana
West Washington School Corporation,Campbellsburg,Washington,Indiana
Western Boone County Community School Corporation,Thorntown,Boone,Indiana
Western School Corporation,Russiaville,Howard,Indiana
Western Wayne Schools,Pershing,Wayne,Indiana
Westfield Washington Schools,Westfield,Hamilton,Indiana
Westview School Corporation,Topeka,LaGrange,Indiana
White River Valley School District,Switz City,Greene,Indiana
Whitko Community School Corporation,South Whitley,Whitley,Indiana
Whitley County Consolidated Schools,Columbia City,Whitley,Indiana
Yorktown Community Schools,Yorktown,Delaware,Indiana
Zionsville Community Schools,Zionsville,Boone,Indiana
