School District,City,County,State
Modesto City High School District,Modesto,Stanislaus,California
Modoc Joint Unified School District,Alturas,Modoc,California
Mojave Unified School District,Mojave,Kern,California
Monroe Elementary School District,Fresno,Fresno,California
Monrovia Unified School District,Monrovia,Los Angeles,California
Monson-Sultana Joint Union Elementary School District,Sultana,Tulare,California
Montague Elementary School District,Montague,Siskiyou,California
Montebello Unified School District,Montebello,Los Angeles,California
Montecito Union Elementary School District,Montecito,Santa Barbara,California
Monterey Peninsula Unified School District,Monterey,Monterey,California
Monte Rio Union Elementary School District,Monte Rio,Sonoma,California
Montgomery Elementary School District,Cazadero,Sonoma,California
Moorpark Unified School District,Moorpark,Ventura,California
Moraga School District,Moraga,Contra Costa,California
Moreland School District,San Jose,Santa Clara,California
Moreno Valley Unified School District,Moreno Valley,Riverside,California
Morgan Hill Unified School District,Morgan Hill,Santa Clara,California
Morongo Unified School District,Twentynine Palms,San Bernardino,California
Mother Lode Union School District,Placerville,El Dorado,California
Mountain Elementary School District,Soquel,Santa Cruz,California
Mountain Empire Unified School District,Pine Valley,San Diego,California
Mountain House School District,Mountain House,San Joaquin,California
Mountain Union Elementary School District,Montgomery Creek,Shasta,California
Mountain Valley Unified School District,Hayfork,Trinity,California
Mountain View Elementary School District (El Monte),El Monte,Los Angeles,California
Mountain View Elementary School District (Ontario),Ontario,San Bernardino,California
Mountain View-Los Altos Union High School District,Mountain View,Santa Clara,California
Mountain View Whisman School District,Mountain View,Santa Clara,California
Mount Baldy School District,Mount Baldy,San Bernardino,California
Mount Diablo Unified School District,Concord,Contra Costa,California
Mount Pleasant Elementary School District,San Jose,Santa Clara,California
Mount Shasta Union School District,Mount Shasta,Siskiyou,California
Mulberry Elementary School District,Brawley,Imperial,California
Mupu School District,Santa Paula,Ventura,California
Muroc Joint Unified School District,Edwards,Kern,California
Murrieta Valley Unified School District,Murrieta,Riverside,California
Napa Valley Unified School District,Napa,Napa,California
National Elementary School District,National City,San Diego,California
