School District,City,County,State
Linn-Mar Community School District,Marion,Linn,Iowa
Lisbon Community School District,Lisbon,Linn,Iowa
Logan-Magnolia Community School District,Logan,Harrison,Iowa
Lone Tree Community School District,Lone Tree,Johnson,Iowa
Louisa-Muscatine Community School District,Letts,Louisa,Iowa
Lynnville-Sully Community School District,Sully,Jasper,Iowa
Madrid Community School District,Madrid,Boone,Iowa
Manson Northwest Webster Community School District,Manson,Calhoun,Iowa
Maple Valley Community School District,Mapleton,Monona,Iowa
Maquoketa Community School District,Maquoketa,Jackson,Iowa
Maquoketa Valley Community School District,Delhi,Delaware,Iowa
Marcus-Meriden-Cleghorn Community School District,Marcus,Cherokee,Iowa
Marion Independent School District,Marion,Linn,Iowa
Marshalltown Community School District,Marshalltown,Marshall,Iowa
Martensdale-St. Marys Community School District,Martensdale,Warren,Iowa
Mason City Community School District,Mason City,Cerro Gordo,Iowa
Mediapolis Community School District,Mediapolis,Des Moines,Iowa
Melcher-Dallas Community School District,Melcher,Marion,Iowa
MFL MarMac Community School District,Monona,Clayton,Iowa
Midland Community School District,Wyoming,Jones,Iowa
Mid-Prairie Community School District,Wellman,Washington,Iowa
Missouri Valley Community School District,Missouri Valley,Harrison,Iowa
MOC-Floyd Valley Community School District,Orange City,Sioux,Iowa
Montezuma Community School District,Montezuma,Poweshiek,Iowa
Monticello Community School District,Monticello,Jones,Iowa
Moravia Community School District,Moravia,Appanoose,Iowa
Mormon Trail Community School District,Humeston,Wayne,Iowa
Morning Sun Community School District,Morning Sun,Louisa,Iowa
Moulton-Udell Community School District,Moulton,Appanoose,Iowa
Mount Ayr Community School District,Mount Ayr,Ringgold,Iowa
Mount Pleasant Community School District,Mount Pleasant,Henry,Iowa
Mount Vernon Community School District,Mount Vernon,Linn,Iowa
Murray Community School District,Murray,Clarke,Iowa
Muscatine Community School District,Muscatine,Muscatine,Iowa
Nashua-Plainfield Community School District,Nashua,Chickasaw,Iowa
Nevada Community School District,Nevada,Story,Iowa
Newell-Fonda Community School District,Newell,Buena Vista,Iowa
New Hampton Community School District,New Hampton,Chickasaw,Iowa
New London Community School District,New London,Henry,Iowa
Newton Community School District,Newton,Jasper,Iowa
Nodaway Valley Community School District,Greenfield,Adair,Iowa
North Butler Community School District,Allison,Butler,Iowa
North Cedar Community School District,Stanwood,Cedar,Iowa
Northeast Community School District,Goose Lake,Clinton,Iowa
North Fayette Community School District,West Union,Fayette,Iowa
North Iowa Community School District,Buffalo Center,Winnebago,Iowa
North Kossuth Community School District,Swea City,Kossuth,Iowa
North Linn Community School District,Troy Mills,Linn,Iowa
North Mahaska Community School District,New Sharon,Mahaska,Iowa
North Polk Community School District,Alleman,Polk,Iowa
North Scott Community School District,Eldridge,Scott,Iowa
North Tama County Community School District,Traer,Tama,Iowa
North Union Community School District,Armstrong,Emmet,Iowa
Northwood-Kensett Community School District,Northwood,Worth,Iowa
Norwalk Community School District,Norwalk,Warren,Iowa
Odebolt Arthur Battle Creek Ida Grove Community School District,Ida Grove,Ida,Iowa
Oelwein Community School District,Oelwein,Fayette,Iowa
Ogden Community School District,Ogden,Boone,Iowa
Okoboji Community School District,Milford,Dickinson,Iowa
Olin Consolidated School District,Olin,Jones,Iowa
Orient-Macksburg Community School District,Orient,Adair,Iowa
Osage Community School District,Osage,Mitchell,Iowa
Oskaloosa Community School District,Oskaloosa,Mahaska,Iowa
Ottumwa Community School District,Ottumwa,Wapello,Iowa
Panorama Community School District,Panora,Guthrie,Iowa
Paton-Churdan Community School District,Churdan,Greene,Iowa
PCM Community School District,Monroe,Jasper,Iowa
Pekin Community School District,Packwood,Jefferson,Iowa
Pella Community School District,Pella,Marion,Iowa
Perry Community School District,Perry,Dallas,Iowa
Pleasant Valley Community School District,LeClaire,Scott,Iowa
Pleasantville Community School District,Pleasantville,Marion,Iowa
Pocahontas Area Community School District,Pocahontas,Pocahontas,Iowa
Postville Community School District,Postville,Allamakee,Iowa
Red Oak Community School District,Red Oak,Montgomery,Iowa
Remsen-Union Community School District,Remsen,Plymouth,Iowa
Riceville Community School District,Riceville,Mitchell,Iowa
Riverside Community School District,Oakland,Pottawattamie,Iowa
River Valley Community School District,Correctionville,Woodbury,Iowa
Rock Valley Community School District,Rock Valley,Sioux,Iowa
Roland-Story Community School District,Story City,Story,Iowa
Rudd-Rockford-Marble Rock Community School District,Rockford,Floyd,Iowa
Ruthven-Ayrshire Community School District,Ruthven,Palo Alto,Iowa
Saydel Community School District,Des Moines,Polk,Iowa
Schaller-Crestland Community School District,Schaller,Sac,Iowa
Schleswig Community School District,Schleswig,Crawford,Iowa
Sergeant Bluff-Luton Community School District,Sergeant Bluff,Woodbury,Iowa
Seymour Community School District,Seymour,Wayne,Iowa
Sheldon Community School District,Sheldon,O'Brien,Iowa
Shenandoah Community School District,Shenandoah,Page,Iowa
Sibley-Ocheyedan Community School District,Sibley,Osceola,Iowa
Sidney Community School District,Sidney,Fremont,Iowa
Sigourney Community School District,Sigourney,Keokuk,Iowa
Sioux Center Community School District,Sioux Center,Sioux,Iowa
Sioux Central Community School District,Sioux Rapids,Buena Vista,Iowa
Sioux City Community School District,Sioux City,Woodbury,Iowa
Solon Community School District,Solon,Johnson,Iowa
South Central Calhoun Community School District,Lake City,Calhoun,Iowa
Southeast Polk Community School District,Pleasant Hill,Polk,Iowa
Southeast Warren Community School District,Liberty Center,Warren,Iowa
South Hamilton Community School District,Jewell,Hamilton,Iowa
South O'Brien Community School District,Primghar,O'Brien,Iowa
South Page Community School District,College Springs,Page,Iowa
South Tama County Community School District,Toledo,Tama,Iowa
South Winneshiek Community School District,Calmar,Winneshiek,Iowa
Spencer Community School District,Spencer,Clay,Iowa
Spirit Lake Community School District,Spirit Lake,Dickinson,Iowa
Springville Community School District,Springville,Linn,Iowa
St. Ansgar Community School District,St. Ansgar,Mitchell,Iowa
Stanton Community School District,Stanton,Montgomery,Iowa
Starmont Community School District,Arlington,Fayette,Iowa
