School District,City,County,State
Elwood Union Free School District,Greenlawn,Suffolk,New York
Enlarged City School District of Middletown,Middletown,Orange,New York
Fabius-Pompey Central School District,Fabius,Onondaga,New York
Fairport Central School District,Fairport,Monroe,New York
Falconer Central School District,Falconer,Chautauqua,New York
Fallsburg Central School District,Fallsburg,Sullivan,New York
Farmingdale Union Free School District,Farmingdale,Nassau,New York
Fayetteville-Manlius Central School District,Fayetteville,Onondaga,New York
Fillmore Central School District,Fillmore,Allegany,New York
Fire Island Union Free School District,Fire Island,Suffolk,New York
Fishers Island Union Free School District,Fishers Island,Suffolk,New York
Floral Park-Bellerose Union Free School District,Floral Park,Nassau,New York
Florida Union Free School District,Florida,Orange,New York
Fonda-Fultonville Central School District,Fonda,Montgomery,New York
Forestville Central School District,Forestville,Chautauqua,New York
Fort Ann Central School District,Fort Ann,Washington,New York
Fort Edward Union Free School District,Fort Edward,Washington,New York
Fort Plain Central School District,Fort Plain,Montgomery,New York
Frankfort-Schuyler Central School District,Frankfort,Herkimer,New York
Franklin Central School District,Franklin,Delaware,New York
Franklin Square Union Free School District,Franklin Square,Nassau,New York
Franklinville Central School District,Franklinville,Cattaraugus,New York
Fredonia Central School District,Fredonia,Chautauqua,New York
Freeport Union Free School District,Freeport,Nassau,New York
Frewsburg Central School District,Frewsburg,Chautauqua,New York
Friendship Central School District,Friendship,Allegany,New York
Frontier Central School District,Hamburg,Erie,New York
Fulton City School District,Fulton,Oswego,New York
Galway Central School District,Galway,Saratoga,New York
Gananda Central School District,Macedon,Wayne,New York
Garden City Union Free School District,Garden City,Nassau,New York
Garrison Union Free School District,Garrison,Putnam,New York
Gates Chili Central School District,Rochester,Monroe,New York
General Brown Central School District,Dexter,Jefferson,New York
Genesee Valley Central School District,Belmont,Allegany,New York
Geneseo Central School District,Geneseo,Livingston,New York
Geneva City School District,Geneva,Ontario,New York
Georgetown-South Otselic Central School District,Georgetown,Madison,New York
Germantown Central School District,Germantown,Columbia,New York
Gilbertsville-Mount Upton Central School District,Gilbertsville,Otsego,New York
Gilboa-Conesville Central School District,Gilboa,Schoharie,New York
Glen Cove City School District,Glen Cove,Nassau,New York
Glens Falls City School District,Glens Falls,Warren,New York
Glens Falls Common School District,Glens Falls,Warren,New York
Gloversville Enlarged School District,Gloversville,Fulton,New York
Gorham-Middlesex (Marcus Whitman) Central School District,Rushville,Ontario,New York
Goshen Central School District,Goshen,Orange,New York
Gouverneur Central School District,Gouverneur,St. Lawrence,New York
Gowanda Central School District,Gowanda,Cattaraugus,New York
Grand Island Central School District,Grand Island,Erie,New York
Granville Central School District,Granville,Washington,New York
Greater Amsterdam School District,Amsterdam,Montgomery,New York
Greater Johnstown School District,Johnstown,Fulton,New York
Great Neck Public Schools,Great Neck,Nassau,New York
Greece Central School District,Greece,Monroe,New York
Greenburgh Central School District,Hartsdale,Westchester,New York
Greene Central School District,Greene,Chenango,New York
Green Island Union Free School District,Green Island,Albany,New York
Greenport Union Free School District,Greenport,Suffolk,New York
Greenville Central School District,Greenville,Greene,New York
Greenwich Central School District,Greenwich,Washington,New York
Greenwood Lake Union Free School District,Greenwood Lake,Orange,New York
Groton Central School District,Groton,Tompkins,New York
Guilderland Central School District,Guilderland Center,Albany,New York
Hadley-Luzerne Central School District,Lake Luzerne,Warren,New York
Haldane Central School District,Cold Spring,Putnam,New York
Half Hollow Hills Central School District,Dix Hills,Suffolk,New York
Hamburg Central School District,Hamburg,Erie,New York
Hamilton Central School District,Hamilton,Madison,New York
Hammond Central School District,Hammond,St. Lawrence,New York
Hammondsport Central School District,Hammondsport,Steuben,New York
Hampton Bays Union Free School District,Hampton Bays,Suffolk,New York
Hancock Central School District,Hancock,Delaware,New York
Hannibal Central School District,Hannibal,Oswego,New York
Harborfields Central School District,Greenlawn,Suffolk,New York
Harpursville Central School District,Harpursville,Broome,New York
Harrison Central School District,Harrison,Westchester,New York
Harrisville Central School District,Harrisville,Lewis,New York
Hartford Central School District,Hartford,Washington,New York
Hastings-on-Hudson Union Free School District,Hastings-on-Hudson,Westchester,New York
Hauppauge Union Free School District,Hauppauge,Suffolk,New York
Haverstraw-Stony Point (North Rockland) Central School District,Garnerville,Rockland,New York
Hempstead Union Free School District,Hempstead,Nassau,New York
Hendrick Hudson Central School District,Montrose,Westchester,New York
Herkimer Central School District,Herkimer,Herkimer,New York
Hermon-DeKalb Central School District,Hermon,St. Lawrence,New York
Herricks Union Free School District,New Hyde Park,Nassau,New York
Heuvelton Central School District,Heuvelton,St. Lawrence,New York
Hewlett-Woodmere School District,Woodmere,Nassau,New York
Hicksville Union Free School District,Hicksville,Nassau,New York
Highland Central School District,Highland,Ulster,New York
Highland Falls Central School District,Highland Falls,Orange,New York
Hilton Central School District,Hilton,Monroe,New York
Hinsdale Central School District,Hinsdale,Cattaraugus,New York
Holland Central School District,Holland,Erie,New York
Holland Patent Central School District,Holland Patent,Oneida,New York
Holley Central School District,Holley,Orleans,New York
Homer Central School District,Homer,Cortland,New York
Honeoye Central School District,Honeoye,Ontario,New York
Honeoye Falls-Lima Central School District,Honeoye Falls,Monroe,New York
Hoosick Falls Central School District,Hoosick Falls,Rensselaer,New York
Hoosic Valley Central School District,Schaghticoke,Rensselaer,New York
Hornell City School District,Hornell,Steuben,New York
Horseheads Central School District,Horseheads,Chemung,New York
Hudson City School District,Hudson,Columbia,New York
Hudson Falls Central School District,Hudson Falls,Washington,New York
Hunter-Tannersville Central School District,Tannersville,Greene,New York
Huntington Union Free School District,Huntington,Suffolk,New York
Hyde Park Central School District,Hyde Park,Dutchess,New York
Ichabod Crane Central School District,Valatie,Columbia,New York
Indian Lake Central School District,Indian Lake,Hamilton,New York
Indian River Central School District,Philadelphia,Jefferson,New York
Iroquois Central School District,Elma,Erie,New York
Irvington Union Free School District,Irvington,Westchester,New York
Island Park Union Free School District,Island Park,Nassau,New York
Island Trees Union Free School District,Levittown,Nassau,New York
Islip Union Free School District,Islip,Suffolk,New York
Ithaca City School District,Ithaca,Tompkins,New York
Jamestown Public School District,Jamestown,Chautauqua,New York
Jamesville-DeWitt Central School District,DeWitt,Onondaga,New York
Jasper-Troupsburg Central School District,Jasper,Steuben,New York
Jefferson Central School District,Jefferson,Schoharie,New York
Jericho Union Free School District,Jericho,Nassau,New York
Johnsburg Central School District,Johnsburg,Warren,New York
Johnson City Central School District,Johnson City,Broome,New York
Jordan-Elbridge Central School District,Jordan,Onondaga,New York
Katonah-Lewisboro School District,Katonah,Westchester,New York
Keene Central School District,Keene Valley,Essex,New York
Kendall Central School District,Kendall,Orleans,New York
Kenmore-Town of Tonawanda Union Free School District,Buffalo,Erie,New York
Keshequa Central School District,Nunda,Livingston,New York
Kings Park Central School District,Kings Park,Suffolk,New York
Kingston City School District,Kingston,Ulster,New York
Kiryas Joel Village Union Free School District,Monroe,Orange,New York
Lackawanna City School District,Lackawanna,Erie,New York
LaFargeville Central School District,LaFargeville,Jefferson,New York
LaFayette Central School District,LaFayette,Onondaga,New York
Lake George Central School District,Lake George,Warren,New York
Lakeland Central School District,Shrub Oak,Westchester,New York
Lake Placid Central School District,Lake Placid,Essex,New York
Lake Pleasant Central School District,Lake Pleasant,Hamilton,New York
Lake Shore Central School District,Angola,Erie,New York
Lancaster Central School District,Lancaster,Erie,New York
Lansingburgh Central School District,Troy,Rensselaer,New York
Lansing Central School District,Lansing,Tompkins,New York
Laurens Central School District,Laurens,Otsego,New York
Lawrence Union Free School District,Lawrence,Nassau,New York
Le Roy Central School District,Le Roy,Genesee,New York
Letchworth Central School District,Castile,Wyoming,New York
Levittown Union Free School District,Levittown,Nassau,New York
Lewiston-Porter Central School District,Youngstown,Niagara,New York
