School District,City,County,State
Kingston K-14 School District,Kingston,Caldwell,Missouri
Kingsville R-I School District,Kingsville,Johnson,Missouri
Kirbyville R-VI School District,Kirbyville,Taney,Missouri
Kirksville R-III School District,Kirksville,Adair,Missouri
Kirkwood School District,Kirkwood,St. Louis,Missouri
Knob Noster R-VIII School District,Knob Noster,Johnson,Missouri
Knox County R-I School District,Edina,Knox,Missouri
Laclede County C-5 School District,Conway,Laclede,Missouri
Laclede County R-I School District,Lebanon,Laclede,Missouri
Ladue School District,St. Louis,St. Louis,Missouri
Lafayette County C-1 School District,Higginsville,Lafayette,Missouri
Lakeland R-III School District,Deepwater,St. Clair,Missouri
Lamar R-I School District,Lamar,Barton,Missouri
La Monte R-IV School District,La Monte,Pettis,Missouri
La Plata R-II School District,La Plata,Macon,Missouri
Laquey R-V School District,Laquey,Pulaski,Missouri
Laredo R-VII School District,Laredo,Grundy,Missouri
Lathrop R-II School District,Lathrop,Clinton,Missouri
Lawson R-XIV School District,Lawson,Ray,Missouri
Lebanon School District,Lebanon,Laclede,Missouri
Lee's Summit R-7 Schools,Lee's Summit,Jackson,Missouri
Leesville R-IX School District,Leesville,Henry,Missouri
Leeton R-X School District,Leeton,Johnson,Missouri
Leopold R-III School District,Leopold,Bollinger,Missouri
Lesterville R-IV School District,Lesterville,Reynolds,Missouri
Lewis County C-1 School District,Canton,Lewis,Missouri
Lexington R-V School District,Lexington,Lafayette,Missouri
Liberal R-II School District,Liberal,Barton,Missouri
Liberty Public Schools,Liberty,Clay,Missouri
Licking School District,Licking,Texas,Missouri
Lincoln County R-III School District,Troy,Lincoln,Missouri
Lincoln R-II School District,Lincoln,Benton,Missouri
Lindbergh R-VIII School District,St. Louis,St. Louis,Missouri
Linn County R-I School District,Purdin,Linn,Missouri
Livingston County R-III School District,Chillicothe,Livingston,Missouri
Lockwood R-I School District,Lockwood,Dade,Missouri
Logan-Rogersville R-VIII School District,Rogersville,Greene,Missouri
Lone Jack C-6 School District,Lone Jack,Jackson,Missouri
Lonedell R-XIV School District,Lonedell,Franklin,Missouri
Louisiana R-II School District,Louisiana,Pike,Missouri
Lutie R-VI School District,Theodosia,Ozark,Missouri
Macks Creek R-V School District,Macks Creek,Camden,Missouri
Macon County R-I School District,Macon,Macon,Missouri
Macon County R-IV School District,New Cambria,Macon,Missouri
Madison C-3 School District,Madison,Monroe,Missouri
Malden R-I School District,Malden,Dunklin,Missouri
Malta Bend R-V School District,Malta Bend,Saline,Missouri
Manes R-V School District,Manes,Wright,Missouri
Mansfield R-IV School District,Mansfield,Wright,Missouri
Maplewood-Richmond Heights School District,Maplewood,St. Louis,Missouri
Marceline R-V School District,Marceline,Linn,Missouri
Maries County R-II School District,Belle,Maries,Missouri
Maries County R-I School District,Vienna,Maries,Missouri
Marion County Early R-V School District,Philadelphia,Marion,Missouri
Marion County R-II School District,Palmyra,Marion,Missouri
Marionville R-IX School District,Marionville,Lawrence,Missouri
Mark Twain R-VIII School District,Center,Ralls,Missouri
Marquand-Zion School District,Marquand,Madison,Missouri
Marshall School District,Marshall,Saline,Missouri
Marshfield R-I School District,Marshfield,Webster,Missouri
Maryville R-II Schools,Maryville,Nodaway,Missouri
Maysville R-I School District,Maysville,DeKalb,Missouri
McDonald County R-I School District,Anderson,McDonald,Missouri
Meadow Heights R-II School District,Patton,Bollinger,Missouri
Meadville R-IV School District,Meadville,Linn,Missouri
