School District,City,County,State
Keystone School District,Knox,Clarion,Pennsylvania
Kiski Area School District,Vandergrift,Westmoreland,Pennsylvania
Kutztown Area School District,Kutztown,Berks,Pennsylvania
Lackawanna Trail School District,Factoryville,Wyoming,Pennsylvania
Lakeland School District,Scott Township,Lackawanna,Pennsylvania
Lake-Lehman School District,Lehman,Luzerne,Pennsylvania
Lakeview School District,Stoneboro,Mercer,Pennsylvania
Lampeter-Strasburg School District,Lampeter,Lancaster,Pennsylvania
Lancaster School District,Lancaster,Lancaster,Pennsylvania
Laurel Highlands School District,Uniontown,Fayette,Pennsylvania
Laurel School District,New Castle,Lawrence,Pennsylvania
Lebanon School District,Lebanon,Lebanon,Pennsylvania
Leechburg Area School District,Leechburg,Armstrong,Pennsylvania
Lehighton Area School District,Lehighton,Carbon,Pennsylvania
Lewisburg Area School District,Lewisburg,Union,Pennsylvania
Ligonier Valley School District,Ligonier,Westmoreland,Pennsylvania
Line Mountain School District,Herndon,Northumberland,Pennsylvania
Littlestown Area School District,Littlestown,Adams,Pennsylvania
Lower Dauphin School District,Hummelstown,Dauphin,Pennsylvania
Lower Merion School District,Ardmore,Montgomery,Pennsylvania
Lower Moreland Township School District,Huntingdon Valley,Montgomery,Pennsylvania
Loyalsock Township School District,Williamsport,Lycoming,Pennsylvania
Mahanoy Area School District,Mahanoy City,Schuylkill,Pennsylvania
Manheim Central School District,Manheim,Lancaster,Pennsylvania
Manheim Township School District,Lancaster,Lancaster,Pennsylvania
Marion Center Area School District,Marion Center,Indiana,Pennsylvania
Marple Newtown School District,Newtown Square,Delaware,Pennsylvania
Mars Area School District,Mars,Butler,Pennsylvania
McGuffey School District,Claysville,Washington,Pennsylvania
McKeesport Area School District,McKeesport,Allegheny,Pennsylvania
Mechanicsburg Area School District,Mechanicsburg,Cumberland,Pennsylvania
Mercer Area School District,Mercer,Mercer,Pennsylvania
Methacton School District,Eagleville,Montgomery,Pennsylvania
Meyersdale Area School District,Meyersdale,Somerset,Pennsylvania
Middletown Area School District,Middletown,Dauphin,Pennsylvania
Midd-West School District,Middleburg,Snyder,Pennsylvania
Midland Borough School District,Midland,Beaver,Pennsylvania
Mid Valley School District,Throop,Lackawanna,Pennsylvania
Mifflinburg Area School District,Mifflinburg,Union,Pennsylvania
Mifflin County School District,Lewistown,Mifflin,Pennsylvania
Millcreek Township School District,Erie,Erie,Pennsylvania
Millersburg Area School District,Millersburg,Dauphin,Pennsylvania
Millville Area School District,Millville,Columbia,Pennsylvania
Milton Area School District,Milton,Northumberland,Pennsylvania
Minersville Area School District,Minersville,Schuylkill,Pennsylvania
Mohawk Area School District,Bessemer,Lawrence,Pennsylvania
Monessen City School District,Monessen,Westmoreland,Pennsylvania
Moniteau School District,West Sunbury,Butler,Pennsylvania
Montgomery Area School District,Montgomery,Lycoming,Pennsylvania
